categorie,type,difficulte,question,reponse_correcte,reponses_incorrectes,toutes_reponses
Science & Nature,multiple,hard,What nucleotide pairs with guanine?,Cytosine,Thymine|Adenine|Uracil,Cytosine|Thymine|Adenine|Uracil
General Knowledge,multiple,medium,"The new One World Trade Center in Manhattan, New York City was designed by which architect? ",David Childs,Bjarke Ingels|Michael Arad|Fumihiko Maki,David Childs|Bjarke Ingels|Michael Arad|Fumihiko Maki
Science: Computers,multiple,easy,"On Twitter, what was the original character limit for a Tweet?",140,120|160|100,140|120|160|100
Sports,multiple,medium,Who won the 2011 Stanley Cup?,Boston Bruins,Montreal Canadiens|New York Rangers|Toronto Maple Leafs,Boston Bruins|Montreal Canadiens|New York Rangers|Toronto Maple Leafs
Sports,multiple,easy,How many points did LeBron James score in his first NBA game?,25,19|69|41,25|19|69|41
Entertainment: Television,multiple,easy,"In ""Star Trek: Voyager"", which episode did Voyager establish real-time communication with Starfleet Headquarters?",Pathfinder,Message In A Bottle|Someone To Watch Over Me|Counterpoint,Pathfinder|Message In A Bottle|Someone To Watch Over Me|Counterpoint
Entertainment: Music,multiple,medium,"From which album is the Gorillaz song, ""On Melancholy Hill"" featured in?",Plastic Beach,Demon Days|Humanz|The Fall,Plastic Beach|Demon Days|Humanz|The Fall
Entertainment: Music,multiple,medium,Who is the singer for Fall Out Boy?,Patrick Stump,Brendon Urie|Pete Wentz|Gary Lee Weinrib,Patrick Stump|Brendon Urie|Pete Wentz|Gary Lee Weinrib
Entertainment: Video Games,multiple,medium,Who composed the soundtrack for the game VVVVVV?,Magnus Pålsson,Terry Cavanagh|Danny Baranowsky|Joel Zimmerman,Magnus Pålsson|Terry Cavanagh|Danny Baranowsky|Joel Zimmerman
Science & Nature,multiple,hard,"In quantum physics, which of these theorised sub-atomic particles has yet to be observed?",Graviton,Z boson|Tau neutrino|Gluon,Graviton|Z boson|Tau neutrino|Gluon
Entertainment: Video Games,multiple,easy,The name of the Metroid series comes from what?,An enemy in the game,The final boss's name|The main character's name|A spaceship's name,An enemy in the game|The final boss's name|The main character's name|A spaceship's name
History,multiple,medium,"When did O, Canada officially become the national anthem?",1980,1950|1920|1880,1980|1950|1920|1880
Entertainment: Books,multiple,easy,Which is NOT a book in the Harry Potter Series?,The House Elf,The Chamber of Secrets|The Prisoner of Azkaban|The Deathly Hallows,The House Elf|The Chamber of Secrets|The Prisoner of Azkaban|The Deathly Hallows
Entertainment: Video Games,multiple,medium,Which of the following Call of Duty games was a PS3 launch title?,Call of Duty 3,Call of Duty 4: Modern Warfare|Call of Duty: World at War|Call of Duty: Roads to Victory,Call of Duty 3|Call of Duty 4: Modern Warfare|Call of Duty: World at War|Call of Duty: Roads to Victory
Art,multiple,easy, What color is produced by mixing black and white?,Grey,Black|Brown|White,Grey|Black|Brown|White
Science: Computers,multiple,hard,Which of the following is NOT a computer science algorithm?,Float Sort,Bubble Sort|Merge Sort|Quick Sort,Float Sort|Bubble Sort|Merge Sort|Quick Sort
Entertainment: Japanese Anime & Manga,multiple,easy,"The two main characters of ""No Game No Life"", Sora and Shiro, together go by what name?",Blank,Immanity|Disboard|Warbeasts,Blank|Immanity|Disboard|Warbeasts
Entertainment: Video Games,multiple,medium,The default playermodel of Garry's Mod is this Half Life 2 character.,Isaac Kleiner,G-Man|Alyx Vance|Gordon Freeman,Isaac Kleiner|G-Man|Alyx Vance|Gordon Freeman
Entertainment: Television,multiple,easy,What was the name of the the first episode of Doctor Who to air in 1963?,An Unearthly Child,The Daleks|The Aztecs|The Edge of Destruction,An Unearthly Child|The Daleks|The Aztecs|The Edge of Destruction
Entertainment: Japanese Anime & Manga,multiple,medium,The main antagonist of the second part of JoJo's Bizarre Adventure is which of the following?,Kars,Erina Joestar|Santana|Wired Beck,Kars|Erina Joestar|Santana|Wired Beck
Entertainment: Japanese Anime & Manga,multiple,easy,"In the anime Black Butler, who is betrothed to be married to Ciel Phantomhive?",Elizabeth Midford,Rachel Phantomhive|Alexis Leon Midford|Angelina Dalles,Elizabeth Midford|Rachel Phantomhive|Alexis Leon Midford|Angelina Dalles
General Knowledge,multiple,medium,Which language is NOT Indo-European?,Hungarian,Russian|Greek|Latvian,Hungarian|Russian|Greek|Latvian
History,multiple,easy,How old was Adolf Hitler when he died?,56,43|65|47,56|43|65|47
Entertainment: Books,multiple,easy,How many Harry Potter books are there?,7,8|5|6,7|8|5|6
Mythology,multiple,easy,Which figure from Greek mythology traveled to the underworld to return his wife Eurydice to the land of the living?,Orpheus,Hercules|Perseus|Daedalus,Orpheus|Hercules|Perseus|Daedalus
Celebrities,multiple,medium,What was the name of Marilyn Monroe's first husband?,James Dougherty,Joe Dimaggio|Kirk Douglas|Arthur Miller,James Dougherty|Joe Dimaggio|Kirk Douglas|Arthur Miller
Entertainment: Books,multiple,hard,In which classic novel is there a character named Homer Simpson?,The Day of the Locust,Catch-22|Of Mice and Men|A Separate Peace,The Day of the Locust|Catch-22|Of Mice and Men|A Separate Peace
Animals,multiple,easy,"The Kākāpō is a large, flightless, nocturnal parrot native to which country?",New Zealand,South Africa|Australia|Madagascar,New Zealand|South Africa|Australia|Madagascar
Geography,multiple,easy,Which small country is located between the borders of France and Spain?,Andorra,San Marino|Vatican City|Lichtenstein,Andorra|San Marino|Vatican City|Lichtenstein
Mythology,multiple,hard,Who is the Egyptian god of reproduction and lettuce?,Min,Menu|Mut|Meret,Min|Menu|Mut|Meret
Entertainment: Music,multiple,easy,"Which band released songs suchs as ""Rio"", ""Girls on Film"", and ""The Reflex""?",Duran Duran,The Cure|New Order|Depeche Mode,Duran Duran|The Cure|New Order|Depeche Mode
Entertainment: Books,multiple,hard,"In Margaret Atwood's ""The Handmaid's Tale"", what is Offred's real name is implied to be?",June,August|April|May,June|August|April|May
Entertainment: Video Games,multiple,medium,"In the game ""Persona 4"", what is the canonical name of the protagonist?",Yu Narukami,Chino Mashido|Tunki Sunada|Masaki Narinaka,Yu Narukami|Chino Mashido|Tunki Sunada|Masaki Narinaka
Entertainment: Video Games,multiple,medium,"In ""Kingdom Hearts"", who abducts Jasmine in the Lamp Chamber?",Riku,Riku Replica|Xaldin|Captain Hook,Riku|Riku Replica|Xaldin|Captain Hook
Entertainment: Video Games,multiple,medium,Which of the following has Jennifer Taylor NOT voiced?,Sarah Kerrigan,Princess Peach|Zoey|Cortana,Sarah Kerrigan|Princess Peach|Zoey|Cortana
General Knowledge,multiple,hard,"Before the 19th Century, the ""Living Room"" was originally called the...",Parlor,Open Room|Sitting Room|Loft,Parlor|Open Room|Sitting Room|Loft
Geography,multiple,easy,What name was historically used for the Turkish city currently known as Istanbul?,Constantinople,Hüdavendigar|Söğüt|Adrianople,Constantinople|Hüdavendigar|Söğüt|Adrianople
Entertainment: Board Games,multiple,hard,"On a standard Monopoly board, how much do you have to pay for Tennessee Ave?",$180,$200|$160|$220,$180|$200|$160|$220
Entertainment: Music,multiple,hard,What year was Huun Huur Tu's album Altai Sayan Tandy-Uula released? ,2004,1993|2006|2010,2004|1993|2006|2010
Entertainment: Music,multiple,medium,"Which song by Swedish electronic musician Avicii samples the song ""Something's Got A Hold On Me"" by Etta James?",Levels,Fade Into Darkness|Silhouettes|Seek Bromance,Levels|Fade Into Darkness|Silhouettes|Seek Bromance
Science & Nature,multiple,hard,What element on the periodic table has 92 electrons?,Uranium,Sulfur|Hydrogen|Iron,Uranium|Sulfur|Hydrogen|Iron
History,multiple,medium,Which Apollo mission was the last one in NASA's Apollo program?,Apollo 17,Apollo 13|Apollo 11|Apollo 15,Apollo 17|Apollo 13|Apollo 11|Apollo 15
General Knowledge,multiple,easy,When was the Playstation 3 released?,"November 11, 2006","January 8, 2007|December 25, 2007|July 16, 2006","November 11, 2006|January 8, 2007|December 25, 2007|July 16, 2006"
Entertainment: Video Games,multiple,easy,What is the code name of Morgana the cat in Persona 5?,Mona,Panther|Nightstalker|Zorro,Mona|Panther|Nightstalker|Zorro
Entertainment: Books,multiple,easy,What is the name of the protagonist of J.D. Salinger's novel Catcher in the Rye?,Holden Caulfield,Fletcher Christian|Jay Gatsby|Randall Flagg,Holden Caulfield|Fletcher Christian|Jay Gatsby|Randall Flagg
General Knowledge,multiple,medium,"What did the Spanish autonomous community of Catalonia ban in 2010, that took effect in 2012?",Bullfighting,Fiestas|Flamenco|Mariachi,Bullfighting|Fiestas|Flamenco|Mariachi
Science: Computers,multiple,easy,Which programming language shares its name with an island in Indonesia?,Java,Python|C|Jakarta,Java|Python|C|Jakarta
Science: Computers,multiple,medium,What is the name of the default theme that is installed with Windows XP?,Luna,Neptune|Whistler|Bliss,Luna|Neptune|Whistler|Bliss
Entertainment: Video Games,multiple,easy,What is the last name of the primary female protagonist of Final Fantasy VIII?,Heartilly,Loire|Almasy|Trepe,Heartilly|Loire|Almasy|Trepe
Entertainment: Film,multiple,medium,"What year did the movie ""Napoleon Dynamite"" come out?",2004,2002|2003|2005,2004|2002|2003|2005
Entertainment: Video Games,multiple,hard,Which of the following games was NOT included in Valve's Orange Box?,Counter-Strike,Portal|Half-Life 2: Episode Two|Team Fortress 2,Counter-Strike|Portal|Half-Life 2: Episode Two|Team Fortress 2
Geography,multiple,hard,How many countries border Kyrgyzstan?,4,3|1|6,4|3|1|6
General Knowledge,multiple,easy,What style of beer will typically have a higher than average hop content?,India Pale Ale,Stout|Extra Special Bitter|Scotch Ale,India Pale Ale|Stout|Extra Special Bitter|Scotch Ale
Entertainment: Film,multiple,easy,The 1996 film 'Fargo' is primarily set in which US state?,Minnesota,North Dakota|South Dakota|Wisconsin,Minnesota|North Dakota|South Dakota|Wisconsin
General Knowledge,multiple,easy,In DC comics where does the Green Arrow (Oliver Queen) live?,Star City,Central City|Gotham City|Metropolis,Star City|Central City|Gotham City|Metropolis
Entertainment: Video Games,multiple,easy,"In the game Nuclear Throne, what character is only usable in a play through with Melting?",Skeleton,Frog|Horror|Plant,Skeleton|Frog|Horror|Plant
Entertainment: Television,multiple,easy,"In which British seaside town was the BBC sitcom ""Fawlty Towers"" set?",Torquay,Blackpool|Bournemouth|Great Yarmouth,Torquay|Blackpool|Bournemouth|Great Yarmouth
Entertainment: Cartoon & Animations,multiple,easy,"Which of these is NOT a catchphrase used by Rick Sanchez in the TV show ""Rick and Morty""?","Slam dunk, nothing but net!","Hit the sack, Jack!|Rikki-Tikki-Tavi, biatch!|Wubba-lubba-dub-dub!","Slam dunk, nothing but net!|Hit the sack, Jack!|Rikki-Tikki-Tavi, biatch!|Wubba-lubba-dub-dub!"
History,multiple,hard,The Bohemian Revolt (1618-1620) started after Protestants in Prague did what to their Catholic Lords Regents?,Threw them out of a window,Insulted their mothers|Locked them in stockades|Hung them.,Threw them out of a window|Insulted their mothers|Locked them in stockades|Hung them.
Science & Nature,multiple,medium,What was the first living creature in space?,Fruit Flies ,Monkey|Dog|Mouse,Fruit Flies |Monkey|Dog|Mouse
Entertainment: Video Games,multiple,hard,What major event caused the events of Half-Life 1?,The Resonance Cascade ,The Blue Shift|The Seven Hour War|The Narbacular Drop,The Resonance Cascade |The Blue Shift|The Seven Hour War|The Narbacular Drop
Entertainment: Video Games,multiple,hard,How many total monsters appear in Monster Hunter Generations?,105,100|98|73,105|100|98|73
Entertainment: Film,multiple,medium,"Which of the following actors does not play a role in the movie ""The Usual Suspects?""",Steve Buscemi,Kevin Spacey|Benicio Del Toro|Gabriel Byrne,Steve Buscemi|Kevin Spacey|Benicio Del Toro|Gabriel Byrne
Vehicles,multiple,medium,Which of the following vehicles featured a full glass roof at base model?,Renault Avantime,Chevy Volt|Mercedes-Benz A-Class|Honda Odyssey,Renault Avantime|Chevy Volt|Mercedes-Benz A-Class|Honda Odyssey
Sports,multiple,easy,Which country won the 2018 FIFA World Cup hosted in Russia?,France,Croatia|Belgium|England,France|Croatia|Belgium|England
Geography,multiple,medium,"The towns of Brugelette, Arlon and Ath are located in which country?",Belgium,Andorra|France|Luxembourg,Belgium|Andorra|France|Luxembourg
General Knowledge,multiple,easy,"The American company ""Campbell's"" is most well known for making what food product?",Canned soups,Chocolate|Soft drinks|Sausages,Canned soups|Chocolate|Soft drinks|Sausages
Entertainment: Video Games,multiple,easy,"In the Super Smash Bros. series, which character was the first one to return to the series after being absent from a previous game?",Dr. Mario,Mewtwo|Lucas|Roy,Dr. Mario|Mewtwo|Lucas|Roy
Entertainment: Film,multiple,medium,"In the movie “The Iron Giant,” this character is the protagonist.",Hogarth Hughes,Kent Mansley|Dean McCoppin|Annie Hughes,Hogarth Hughes|Kent Mansley|Dean McCoppin|Annie Hughes
Science & Nature,multiple,easy,"What is the common name of the chemical compound ""dihydrogen monoxide""?",Water,Methane|Ammonia |Laughing Gas,Water|Methane|Ammonia |Laughing Gas
Entertainment: Video Games,multiple,easy,"""Tomb Raider"" icon Lara Croft was originally called...",Laura Cruz,Laura Craft|Laura Croft|Lara Craft,Laura Cruz|Laura Craft|Laura Croft|Lara Craft
Art,multiple,easy,Who painted The Starry Night?,Vincent van Gogh,Pablo Picasso|Leonardo da Vinci|Michelangelo,Vincent van Gogh|Pablo Picasso|Leonardo da Vinci|Michelangelo
Entertainment: Video Games,multiple,medium,"The protagonist in the game ""Cave Story"" is named",Quote,Kazuma|Curly|Arthur,Quote|Kazuma|Curly|Arthur
Entertainment: Cartoon & Animations,multiple,easy,"In ""Avatar: The Last Airbender"", which element does Aang begin to learn after being defrosted?",Water,Air|Earth|Fire,Water|Air|Earth|Fire
Entertainment: Japanese Anime & Manga,multiple,easy,"In ""Inuyasha"", what are the heros are looking to collect?",Jewel Shards,Dragon Balls|Rave Stones|Sacred Stones,Jewel Shards|Dragon Balls|Rave Stones|Sacred Stones
Science: Gadgets,multiple,easy,When was the iPhone released?,2007,2005|2006|2004,2007|2005|2006|2004
Animals,multiple,easy,What is the name of a rabbit's abode?,Burrow,Nest|Den|Dray,Burrow|Nest|Den|Dray
Entertainment: Cartoon & Animations,multiple,easy,Which Teenage Mutant Ninja Turtle traditionally wears an orange bandana?,Michelangelo,Leonardo|Donatello|Raphael,Michelangelo|Leonardo|Donatello|Raphael
Entertainment: Video Games,multiple,medium,What is the name of the protagonist of Life Is Strange?,Max Caulfield,Frank Bowers|Rachel Amber|Kate Marsh,Max Caulfield|Frank Bowers|Rachel Amber|Kate Marsh
Entertainment: Cartoon & Animations,multiple,easy,"In South Park, what is Stan's surname?",Marsh,Stotch|Broflovski|Tweak,Marsh|Stotch|Broflovski|Tweak
Entertainment: Music,multiple,easy,"Which group performs the song ""Crash into Me""?",Dave Matthews Band,Phish|The Grateful Dead|Destiny's Child,Dave Matthews Band|Phish|The Grateful Dead|Destiny's Child
Entertainment: Film,multiple,hard,"What was the name of the planet in ""Aliens""?",LV-426,Weyland Yutani Corporation Base|FR-838|DI-621,LV-426|Weyland Yutani Corporation Base|FR-838|DI-621
Entertainment: Music,multiple,easy,Which member of the Foo Fighters was previously the drummer for Nirvana?,Dave Grohl,Taylor Hawkins|Nate Mendel|Chris Shiflett,Dave Grohl|Taylor Hawkins|Nate Mendel|Chris Shiflett
Entertainment: Japanese Anime & Manga,multiple,medium,What sport is being played in the Anime Eyeshield 21?,American Football,Baseball|Football|Basketball,American Football|Baseball|Football|Basketball
Entertainment: Music,multiple,easy,Which Beatles album does NOT feature any of the band members on it's cover?,The Beatles (White Album),Rubber Soul|Abbey Road|Magical Mystery Tour,The Beatles (White Album)|Rubber Soul|Abbey Road|Magical Mystery Tour
Entertainment: Cartoon & Animations,multiple,hard,"In the 1969 Cartoon show ""Dastardly and Muttley in Their Flying Machines"", which were NOT one of the lyrics in the opening theme?",Stab him,Nab him|Jab him|Tab him,Stab him|Nab him|Jab him|Tab him
Entertainment: Television,multiple,easy,"Which of these characters in ""Stranger Things"" has the power of Telekinesis?",Eleven,Mike|Lucas|Karen,Eleven|Mike|Lucas|Karen
Entertainment: Film,multiple,easy,Which year was the first official Youtube Rewind released?,2010,2012|2011|2013,2010|2012|2011|2013
Entertainment: Television,multiple,easy,"Who was the first ever actor to play ""The Doctor"" on ""Doctor Who""?",William Hartnell,David Tennant|Peter Capaldi|Tom Baker,William Hartnell|David Tennant|Peter Capaldi|Tom Baker
History,multiple,hard,The ontological argument for the proof of God's existence is first attributed to whom?,Anselm of Canterbury,René Descartes|Immanuel Kant|Aristotle,Anselm of Canterbury|René Descartes|Immanuel Kant|Aristotle
Entertainment: Video Games,multiple,easy,Which of these video game engines was made by the company Epic Games?,Unreal,Unity|Game Maker: Studio|Cry Engine,Unreal|Unity|Game Maker: Studio|Cry Engine
Sports,multiple,easy,Which wrestler won the 2019 Men’s Royal Rumble?,Seth Rollins,Braun Strowman|AJ Styles|Andrade,Seth Rollins|Braun Strowman|AJ Styles|Andrade
Entertainment: Music,multiple,medium,Who is the lead singer of Silverchair?,Daniel Johns,Ben Gillies|Chris Joannou|George Costanza,Daniel Johns|Ben Gillies|Chris Joannou|George Costanza
History,multiple,hard,Which of these positions did the astronomer and physicist Isaac Newton not hold?,Surveyor to the City of London,Professor of Mathematics|Warden of the Royal Mint|Member of Parliament,Surveyor to the City of London|Professor of Mathematics|Warden of the Royal Mint|Member of Parliament
Geography,multiple,easy,Which of these is the name of the largest city in the US state Tennessee?,Memphis,Thebes|Alexandria|Luxor,Memphis|Thebes|Alexandria|Luxor
Entertainment: Video Games,multiple,medium,"In ""Halo 2"", what is the name of the monitor of Installation 05?",2401 Penitent Tangent,343 Guilty Spark|031 Exuberant Witness|252 Biodis Expolsion,2401 Penitent Tangent|343 Guilty Spark|031 Exuberant Witness|252 Biodis Expolsion
History,multiple,easy,The collapse of the Soviet Union took place in which year?,1991,1992|1891|1990,1991|1992|1891|1990
Mythology,multiple,hard,"According to Algonquian folklore, how does one transform into a Wendigo?",Participating in cannibalism.,Excessive mutilation of animal corpses.|Performing a ritual involving murder.|Drinking the blood of many slain animals.,Participating in cannibalism.|Excessive mutilation of animal corpses.|Performing a ritual involving murder.|Drinking the blood of many slain animals.
General Knowledge,multiple,medium,Directly between the Washington Monument and the Reflecting Pool is a memorial to which war?,World War II,Vietnam War|American Civil War|American Revolutionary War,World War II|Vietnam War|American Civil War|American Revolutionary War
Entertainment: Books,multiple,medium,By what name was the author Eric Blair better known?,George Orwell,Aldous Huxley|Ernest Hemingway|Ray Bradbury,George Orwell|Aldous Huxley|Ernest Hemingway|Ray Bradbury
History,multiple,medium,Under which name was Rodrigo Borgia made Pope?,Alexander VI,Rodrigo I|John Paul II|Pius VII,Alexander VI|Rodrigo I|John Paul II|Pius VII
Entertainment: Music,multiple,easy,"What is the stage name of English female rapper Mathangi Arulpragasam, who is known for the song ""Paper Planes""?",M.I.A.,K.I.A.|C.I.A.|A.I.A.,M.I.A.|K.I.A.|C.I.A.|A.I.A.
General Knowledge,multiple,easy,Which country has the Union Jack in its flag?,New Zealand,South Africa|Canada|Hong Kong,New Zealand|South Africa|Canada|Hong Kong
Geography,multiple,easy,Which of the following countries has a flag featuring a yellow lion wielding a sword on a dark red background?,Sri Lanka,Kiribati|Scotland|Bhutan,Sri Lanka|Kiribati|Scotland|Bhutan
Entertainment: Film,multiple,medium,In which African country was the 2006 film 'Blood Diamond' mostly set in?,Sierra Leone,Liberia|Burkina Faso|Central African Republic,Sierra Leone|Liberia|Burkina Faso|Central African Republic
Entertainment: Books,multiple,hard,"In the Harry Potter universe, what is Cornelius Fudge's middle name?",Oswald,James|Harold|Christopher,Oswald|James|Harold|Christopher
Science: Mathematics,multiple,hard,How many Millibars (mbar) to 1 Inch of Mercury (inHg),33.9,30.0|27.4|10.6,33.9|30.0|27.4|10.6
Entertainment: Books,multiple,medium,"In ""The Lord of the Rings,"" who is the owner of Asfaloth, the horse which brings Frodo to Rivendell?",Glorfindel,Arwen|Aragorn|Haldir,Glorfindel|Arwen|Aragorn|Haldir
Art,multiple,hard,Which of these is not an additional variation of the color purple?,Kobicha,Byzantium|Pomp and Power|Palatinate,Kobicha|Byzantium|Pomp and Power|Palatinate
General Knowledge,multiple,easy,"What is the French word for ""hat""?",Chapeau,Bonnet| Écharpe| Casque,Chapeau|Bonnet| Écharpe| Casque
Geography,multiple,hard,"Where is the fast food chain ""Panda Express"" headquartered?","Rosemead, California","Sacramento, California|Fresno, California|San Diego, California","Rosemead, California|Sacramento, California|Fresno, California|San Diego, California"
History,multiple,hard,"During the Spanish Civil War (1936), Francisco Franco fought for which political faction?",Nationalist Spain,Republican Spain|Popular Front|Papal State,Nationalist Spain|Republican Spain|Popular Front|Papal State
Entertainment: Cartoon & Animations,multiple,medium,Adam West was the mayor of which cartoon town?,Quahog,Springfield|South Park|Langley Falls,Quahog|Springfield|South Park|Langley Falls
Entertainment: Video Games,multiple,medium,Which of these characters won the Super Smash Bros. Fighter Ballot in 2015?,Bayonetta,Cloud|Ryu|Megaman,Bayonetta|Cloud|Ryu|Megaman
Entertainment: Television,multiple,easy,Which of these Disney shows is classified as an anime?,Stitch!,Cory in the House|The Emperor's New School|Hannah Montana,Stitch!|Cory in the House|The Emperor's New School|Hannah Montana
Politics,multiple,medium,"Between 1973 to 1990, what country was ruled by dictator Augusto Pinochet?",Chile,Ethiopia|Indonesia|Nicaragua,Chile|Ethiopia|Indonesia|Nicaragua
History,multiple,hard,Who was the President of the United States during the signing of the Gadsden Purchase?,Franklin Pierce,Andrew Johnson|Abraham Lincoln|James Polk,Franklin Pierce|Andrew Johnson|Abraham Lincoln|James Polk
Entertainment: Video Games,multiple,medium,"Which one of the following actors did not voice a character in ""Saints Row: The Third""?",Ron Jeremy,Sasha Grey|Burt Reynolds|Hulk Hogan,Ron Jeremy|Sasha Grey|Burt Reynolds|Hulk Hogan
Entertainment: Books,multiple,hard,Which classic horror character killed Elizabeth Lavenza?,Frankenstein's Monster,Count Dracula|Werewolf|The Creature from the Black Lagoon,Frankenstein's Monster|Count Dracula|Werewolf|The Creature from the Black Lagoon
Geography,multiple,medium,What is the fifth largest country by area?,Brazil,United States|Australia|India,Brazil|United States|Australia|India
Entertainment: Video Games,multiple,medium,When was Final Fantasy XV released?,"November 29th, 2016","October 25th, 2016|December 31th, 2016|November 30th, 2016","November 29th, 2016|October 25th, 2016|December 31th, 2016|November 30th, 2016"
Science & Nature,multiple,medium,What is Hypernatremia?,Increase in blood sodium,Decrease in blood potassium|Increase in blood glucose|Decrease in blood iron,Increase in blood sodium|Decrease in blood potassium|Increase in blood glucose|Decrease in blood iron
Entertainment: Musicals & Theatres,multiple,medium,Who played Marquis de Lafayette and Thomas Jefferson in the original Broadway run of Hamilton?,Daveed Diggs,Lin-Manuel Miranda|Javier Muñoz|Wayne Brady,Daveed Diggs|Lin-Manuel Miranda|Javier Muñoz|Wayne Brady
Art,multiple,medium,Which artist's style was to use small different colored dots to create a picture?,Georges Seurat,Paul Cézanne|Vincent Van Gogh|Henri Rousseau,Georges Seurat|Paul Cézanne|Vincent Van Gogh|Henri Rousseau
Entertainment: Music,multiple,easy,"What 1970's American ballad referred to the 1959 plane crash as the ""the day the music died""?",American Pie,Kentucky Rain|I Will Always Love You|Rock 'n' Roll Suicide,American Pie|Kentucky Rain|I Will Always Love You|Rock 'n' Roll Suicide
Entertainment: Music,multiple,easy,How many strings are there on a cello?,4,5|6|8,4|5|6|8
Sports,multiple,hard,Which year was the third Super Bowl held?,1969,1968|1971|1970,1969|1968|1971|1970
Science: Mathematics,multiple,easy,What prime number comes next after 19?,23,25|21|27,23|25|21|27
Entertainment: Film,multiple,easy,"Which movie contains the quote, ""Say hello to my little friend!""?",Scarface,Reservoir Dogs|Heat|Goodfellas,Scarface|Reservoir Dogs|Heat|Goodfellas
History,multiple,medium,Where and when was the first cardboard box made for industrial use?,"England, 1817","United States, 1817|England, 1917|United States, 1917","England, 1817|United States, 1817|England, 1917|United States, 1917"
Entertainment: Japanese Anime & Manga,multiple,medium,Which studio made Cowboy Bebop?,Sunrise,Bones|Madhouse|Pierriot,Sunrise|Bones|Madhouse|Pierriot
Entertainment: Video Games,multiple,hard,"In Halo 2, how many rounds does the M6C hold in a single magazine?",12,6|36|18,12|6|36|18
Science: Gadgets,multiple,medium,"Mobile hardware and software company ""Blackberry Limited"" was founded in which country?",Canada,Norway|United States of America|United Kingdom,Canada|Norway|United States of America|United Kingdom
History,multiple,medium,The crown of the Empire State Building was originally built for what purpose?,Airship Dock,Lightning Rod|Antennae|Flag Pole,Airship Dock|Lightning Rod|Antennae|Flag Pole
Entertainment: Video Games,multiple,hard,"Prior to his appearance in Super Smash Bros. Ultimate, What was King K. Rool's last appearance in any game?",Mario Super Sluggers,Donkey Kong 64|Donkey Kong Country 3|Donkey Kong: King Of Swing,Mario Super Sluggers|Donkey Kong 64|Donkey Kong Country 3|Donkey Kong: King Of Swing
Geography,multiple,medium,Where is the world's oldest still operational space launch facility located?,Kazakhstan,Russia|Iran|United States,Kazakhstan|Russia|Iran|United States
Animals,multiple,easy,What is the scientific name for modern day humans?,Homo Sapiens,Homo Ergaster|Homo Erectus|Homo Neanderthalensis,Homo Sapiens|Homo Ergaster|Homo Erectus|Homo Neanderthalensis
Entertainment: Japanese Anime & Manga,multiple,medium,The main protagonist of the fifth part of JoJo's Bizarre Adventure is which of the following?,Giorno Giovanna,Guido Mista|Jonathan Joestar|Joey JoJo,Giorno Giovanna|Guido Mista|Jonathan Joestar|Joey JoJo
Science: Computers,multiple,easy,HTML is what type of language?,Markup Language,Macro Language|Programming Language|Scripting Language,Markup Language|Macro Language|Programming Language|Scripting Language
Entertainment: Comics,multiple,easy,When was Marvel Comics founded?,1939,1932|1951|1936,1939|1932|1951|1936
Mythology,multiple,hard,"In Norse mythology, what is the name of the serpent which eats the roots of the ash tree Yggdrasil?",Nidhogg,Bragi|Odin|Ymir,Nidhogg|Bragi|Odin|Ymir
Entertainment: Video Games,multiple,medium,What level do you have to be to get a service medal on CS:GO?,40,50|30|20,40|50|30|20
Entertainment: Comics,multiple,easy,"In ""Homestuck"" what is Dave Strider's guardian?",Bro,Becquerel|Doc Scratch|Halley,Bro|Becquerel|Doc Scratch|Halley
General Knowledge,multiple,medium,What is a Burgee?,A flag,A rope|A window|A type of food,A flag|A rope|A window|A type of food
Entertainment: Video Games,multiple,hard,"In ""Pokémon Sun and Moon"", Team Skull took over which town?",Po Town,Heahea City|Tapu Village|Iki Town,Po Town|Heahea City|Tapu Village|Iki Town
Entertainment: Video Games,multiple,easy,"In Pokemon, the ability Wonder Guard is exclusive to which Pokemon? ",Shedinja ,Sableye|Spiritomb|Silvally ,Shedinja |Sableye|Spiritomb|Silvally 
History,multiple,easy,What was William Frederick Cody better known as?,Buffalo Bill,Billy the Kid|Wild Bill Hickok|Pawnee Bill,Buffalo Bill|Billy the Kid|Wild Bill Hickok|Pawnee Bill
Entertainment: Television,multiple,medium,Cesar Romero played which iconic Batman villain from the 1960's TV show?,The Joker,The Penguin|The Riddler|Mr. Freeze,The Joker|The Penguin|The Riddler|Mr. Freeze
Entertainment: Film,multiple,medium,"What does TIE stand for in reference to the TIE Fighter in ""Star Wars""?",Twin Ion Engine,Twin Iron Engine|Twin Intercepter Engine|Twin Inception Engine,Twin Ion Engine|Twin Iron Engine|Twin Intercepter Engine|Twin Inception Engine
Entertainment: Music,multiple,easy,"According to a song by Belinda Carlisle, Heaven is a place on what?",Earth,Venus|Mars|Uranus,Earth|Venus|Mars|Uranus
Entertainment: Video Games,multiple,medium,"In Terraria, which of the following items does the Martian Saucer mini-boss NOT drop?",Drill Containment Unit,Anti-Gravity Hook|Influx Waver|Cosmic Car Key,Drill Containment Unit|Anti-Gravity Hook|Influx Waver|Cosmic Car Key
Entertainment: Film,multiple,medium,"In Mulan (1998), who is the leader of the Huns?",Shan Yu,Chien-Po|Li Shang|Fa Zhou,Shan Yu|Chien-Po|Li Shang|Fa Zhou
